Destination ID,Destination,Country,Popular Season
FHE,Rome,Japan,Winter
FDP,Paris,France,Spring
ZAD,Paris,France,Autumn
XRY,Barcelona,France,Summer
GAN,Barcelona,Spain,Spring
DYA,Rome,Spain,Winter
VIT,Paris,France,Autumn
XZW,Tokyo,France,Winter
LBZ,Rome,Japan,Winter
RGN,Rome,Spain,Summer
TNI,London,Spain,Spring
QIF,London,Japan,Autumn
QEY,Barcelona,Japan,Winter
HLE,Barcelona,Italy,Winter
UDJ,Paris,France,Autumn
TRZ,Barcelona,Japan,Autumn
KXV,Rome,Japan,Autumn
AOV,Paris,France,Summer
UHE,Barcelona,Japan,Winter
NZO,Tokyo,Italy,Summer
OOU,Paris,Japan,Spring
EIY,Paris,Japan,Spring
BWT,Paris,France,Winter
WVX,Rome,United Kingdom,Autumn
UGY,Rome,Japan,Winter
YQC,Rome,Spain,Summer
ILZ,Barcelona,France,Summer
YJS,Barcelona,Spain,Winter
KPR,Tokyo,Italy,Spring
YBM,Barcelona,Italy,Summer
CHL,Rome,France,Winter
HJA,Paris,Japan,Spring
CSL,Paris,Spain,Summer
CBX,Tokyo,Spain,Summer
NIE,Barcelona,Japan,Winter
NCN,Tokyo,United Kingdom,Spring
WZH,London,Spain,Summer
CEL,Paris,Japan,Autumn
XKW,Rome,France,Summer
TIX,Rome,Italy,Summer
BJY,Barcelona,United Kingdom,Spring
CNK,Paris,Spain,Winter
KZJ,Tokyo,Spain,Winter
GAZ,Tokyo,United Kingdom,Winter
WLX,London,Italy,Spring
FHP,Barcelona,Italy,Winter
EYW,Barcelona,Italy,Winter
RHL,Tokyo,Italy,Spring
IPL,Barcelona,United Kingdom,Spring
OEF,Tokyo,Spain,Spring
MPV,Rome,United Kingdom,Spring
IFE,Tokyo,Spain,Summer
AIO,London,United Kingdom,Summer
VHZ,Paris,France,Autumn
HIK,Tokyo,Italy,Summer
KRF,Paris,Japan,Autumn
STI,Paris,United Kingdom,Autumn
VIJ,Barcelona,Italy,Summer
OLH,Paris,Spain,Winter
ONF,Paris,Italy,Summer
ANR,London,France,Autumn
WRE,London,Italy,Summer
YLG,Rome,Italy,Spring
IXR,London,France,Winter
DDO,Tokyo,United Kingdom,Winter
SRP,Paris,Spain,Winter
XMO,Barcelona,France,Winter
CYM,Rome,United Kingdom,Spring
HIP,Tokyo,Italy,Winter
VEY,Rome,United Kingdom,Spring
BUM,Tokyo,Italy,Spring
PGC,Paris,France,Spring
AZH,Rome,France,Autumn
RRP,Tokyo,United Kingdom,Spring
WXS,Barcelona,Japan,Winter
TGL,London,Italy,Winter
CII,London,France,Autumn
DZL,Rome,Spain,Winter
DGW,Tokyo,Japan,Winter
YBS,London,France,Summer
HID,Tokyo,France,Spring
XXL,Paris,United Kingdom,Summer
NDI,Barcelona,Italy,Summer
NDR,Tokyo,United Kingdom,Autumn
YPN,Paris,Spain,Autumn
RAH,Tokyo,Italy,Summer
REO,Paris,France,Autumn
UJA,Paris,France,Summer
ECU,Tokyo,Italy,Winter
IDE,Rome,Italy,Spring
YOP,Paris,United Kingdom,Summer
YCX,Paris,United Kingdom,Winter
NOV,Paris,Spain,Spring
ZZB,Barcelona,Italy,Spring
TBA,London,United Kingdom,Summer
GQZ,Rome,Japan,Summer
BMD,London,Italy,Spring
WEV,Tokyo,France,Winter
CSO,Rome,France,Summer
XTM,Rome,Italy,Autumn
IIH,Barcelona,Spain,Spring
NIL,Rome,United Kingdom,Winter
GSY,Paris,France,Summer
RZW,Rome,Italy,Summer
IGQ,Paris,United Kingdom,Autumn
ETD,Tokyo,Japan,Spring
QGJ,Rome,Italy,Summer
SYK,Tokyo,France,Autumn
MJH,Rome,United Kingdom,Autumn
SFQ,Rome,France,Autumn
DHX,Barcelona,Italy,Spring
GCG,Tokyo,France,Winter
ZKC,London,Italy,Spring
HIL,Barcelona,Italy,Spring
QZL,London,United Kingdom,Winter
OUT,London,Italy,Spring
GVD,London,Italy,Spring
PRM,Rome,Italy,Winter
MSR,Tokyo,France,Winter
YGA,Tokyo,Italy,Winter
QWV,London,Japan,Autumn
CIP,Rome,France,Spring
AXE,Rome,Spain,Winter
DHM,London,United Kingdom,Summer
OTV,Paris,Italy,Spring
TWE,Rome,United Kingdom,Winter
CVU,Paris,Italy,Spring
DNZ,Rome,Italy,Summer
RQX,Tokyo,Italy,Summer
CHQ,Barcelona,Italy,Autumn
XKV,Barcelona,Spain,Autumn
KJO,Paris,France,Spring
PJB,Paris,Japan,Winter
JML,Tokyo,United Kingdom,Summer
UQU,London,United Kingdom,Summer
NNM,Rome,France,Spring
RZF,Paris,Italy,Summer
WQX,London,Italy,Summer
QSN,Barcelona,Spain,Winter
YSC,Rome,Italy,Spring
TEG,Rome,Spain,Winter
RAU,Tokyo,France,Autumn
BPD,Rome,Italy,Summer
QET,Barcelona,United Kingdom,Summer
FNY,Paris,France,Summer
OYU,Rome,Spain,Winter
WKL,London,Italy,Winter
CMJ,London,France,Summer
YHC,Rome,United Kingdom,Winter
KPR,Barcelona,France,Summer
IRK,Tokyo,Italy,Autumn
RMM,Paris,Spain,Spring
MPA,Barcelona,Spain,Summer
XAM,Paris,United Kingdom,Autumn
LDS,Barcelona,Italy,Winter
FVA,Tokyo,Italy,Autumn
QMM,Tokyo,Italy,Summer
WOO,Paris,United Kingdom,Spring
ERK,Paris,Spain,Spring
BJT,Rome,France,Winter
GZP,London,France,Autumn
SPU,Tokyo,Japan,Summer
LYV,Barcelona,Spain,Summer
JLW,Rome,Italy,Summer
MFM,Barcelona,Spain,Spring
IIY,Barcelona,United Kingdom,Summer
FJZ,Tokyo,France,Autumn
EQO,Paris,United Kingdom,Summer
UNR,Rome,Spain,Winter
XAK,Tokyo,United Kingdom,Spring
ZUN,Paris,Italy,Winter
TCY,Paris,United Kingdom,Autumn
DAG,Rome,Japan,Autumn
LEX,Rome,Italy,Summer
PRI,Tokyo,Spain,Summer
TRP,Barcelona,Italy,Spring
MWJ,Rome,France,Spring
BWK,Rome,France,Spring
JYI,London,United Kingdom,Summer
DIY,Rome,France,Autumn
TWX,Barcelona,Japan,Winter
PYN,London,United Kingdom,Summer
VMW,Tokyo,Japan,Winter
SNO,Paris,Spain,Spring
IAJ,Rome,Italy,Autumn
KJI,Barcelona,Italy,Summer
LCR,Paris,United Kingdom,Spring
IUP,Paris,United Kingdom,Summer
ZUC,Barcelona,Japan,Winter
IQA,Rome,Italy,Winter
CXP,London,United Kingdom,Spring
FNG,Rome,Italy,Autumn
SFB,Rome,Spain,Summer
EBC,London,Japan,Autumn
RZJ,Tokyo,Japan,Spring
ZPW,Tokyo,United Kingdom,Summer
UNC,Rome,Spain,Summer
OCB,Tokyo,France,Autumn
QDH,Paris,Spain,Autumn
EUZ,Rome,France,Spring
YJR,London,United Kingdom,Winter
RAB,Paris,Japan,Autumn
OUT,Barcelona,Japan,Spring
XPF,Paris,France,Winter
YRY,Paris,Spain,Summer
RHV,Barcelona,Japan,Autumn
KFG,Paris,Spain,Summer
MKD,Barcelona,Japan,Autumn
WQC,Tokyo,Spain,Winter
OMQ,Paris,Spain,Spring
ZYK,Rome,United Kingdom,Spring
FEK,London,France,Spring
WWN,Paris,Spain,Winter
EGW,Barcelona,France,Spring
XZZ,Barcelona,United Kingdom,Spring
IPK,Barcelona,Spain,Spring
JKU,Rome,Japan,Autumn
BNN,London,United Kingdom,Winter
VGC,Barcelona,Italy,Summer
BSP,Barcelona,Italy,Spring
RWN,Barcelona,United Kingdom,Summer
YJM,Paris,United Kingdom,Spring
AEC,London,Japan,Autumn
FVK,London,Japan,Spring
DGD,Rome,Japan,Autumn
HHH,London,United Kingdom,Winter
WBH,Barcelona,Japan,Summer
EOJ,London,United Kingdom,Summer
HVT,London,Italy,Winter
SWM,London,United Kingdom,Winter
KTI,London,Japan,Summer
SYR,Barcelona,France,Autumn
RUV,Paris,United Kingdom,Winter
VTU,Barcelona,France,Autumn
ORH,Paris,Spain,Autumn
BMY,Barcelona,France,Spring
YFB,London,France,Autumn
ILE,London,France,Summer
XAS,Tokyo,France,Summer
GYO,Barcelona,United Kingdom,Spring
CZX,Tokyo,Japan,Summer
XHT,Tokyo,Italy,Winter
AQV,Rome,France,Spring
WZJ,Rome,United Kingdom,Summer
OXF,London,United Kingdom,Summer
NZO,Paris,France,Spring
UAP,London,Spain,Winter
ICT,Rome,France,Winter
AAV,Barcelona,Spain,Autumn
LIS,Tokyo,France,Summer
EYJ,Paris,Japan,Autumn
BPL,London,Spain,Autumn
LXS,London,United Kingdom,Autumn
PYJ,Tokyo,Spain,Summer
AJE,London,Spain,Autumn
PEP,Tokyo,France,Winter
UFW,Tokyo,Italy,Spring
DBU,Paris,Spain,Autumn
HZP,London,France,Winter
MDD,London,Japan,Spring
LRV,Paris,Italy,Winter
YWF,Barcelona,Italy,Spring
WLU,Paris,France,Summer
ZHV,Barcelona,Spain,Autumn
XFI,Paris,France,Spring
XAW,Paris,France,Spring
MKE,London,France,Winter
XXF,London,United Kingdom,Spring
UBV,Paris,Japan,Spring
VLA,Tokyo,United Kingdom,Winter
LLS,Rome,Japan,Winter
PAW,Barcelona,United Kingdom,Autumn
JIU,Barcelona,United Kingdom,Summer
SPY,Tokyo,France,Summer
CUS,Barcelona,Italy,Autumn
LWP,Barcelona,Italy,Winter
XCR,Rome,Italy,Winter
HXD,Tokyo,Japan,Autumn
YRF,Rome,Italy,Winter
RWP,Barcelona,Italy,Summer
KPL,Paris,United Kingdom,Autumn
KJB,Tokyo,Italy,Autumn
AHH,Tokyo,Japan,Autumn
BWC,Barcelona,Italy,Winter
RRO,Paris,Spain,Spring
ZBR,Tokyo,Spain,Autumn
BEE,London,Italy,Autumn
DZQ,Barcelona,France,Summer
NYC,Barcelona,Japan,Autumn
LFW,Paris,Spain,Winter
LTK,Barcelona,Spain,Autumn
GVL,Paris,Spain,Autumn
BFL,Rome,Italy,Autumn
DPU,Barcelona,France,Spring
BEC,London,Spain,Autumn
PST,Barcelona,United Kingdom,Spring
NIN,Barcelona,Italy,Summer
WMA,Paris,Spain,Autumn
XHY,Tokyo,Italy,Summer
EBL,Paris,Italy,Spring
JET,Paris,Italy,Summer
ZAV,London,France,Autumn
ERI,Barcelona,Japan,Summer
WVV,Paris,Japan,Winter
EEI,Paris,United Kingdom,Summer
IEQ,London,United Kingdom,Summer
VFR,Rome,Japan,Spring
ACO,Tokyo,Japan,Summer
SXP,London,Japan,Summer
LXH,London,Spain,Spring
HVD,Rome,Italy,Autumn
QMZ,Paris,Japan,Winter
ZDW,Tokyo,United Kingdom,Summer
PGQ,Barcelona,United Kingdom,Winter
WTC,Barcelona,Spain,Autumn
KAC,Tokyo,France,Winter
BJO,Tokyo,United Kingdom,Autumn
RAX,Barcelona,Italy,Spring
UZP,Paris,Japan,Autumn
UGJ,London,Japan,Autumn
FMH,Tokyo,United Kingdom,Autumn
LMU,London,Japan,Summer
BLT,Paris,Italy,Summer
LZQ,London,France,Summer
HAX,Paris,United Kingdom,Summer
KYX,London,United Kingdom,Summer
HEE,Barcelona,Japan,Winter
ZQL,Barcelona,Japan,Winter
QPB,Tokyo,Japan,Winter
VVK,London,Spain,Summer
MXA,Paris,United Kingdom,Winter
RAG,Paris,Spain,Winter
YIS,Paris,United Kingdom,Autumn
RWQ,Paris,Italy,Winter
TGL,Tokyo,France,Spring
CTW,Rome,Japan,Winter
VYG,Tokyo,Italy,Summer
POK,London,France,Winter
ILR,Barcelona,Italy,Winter
JMF,Barcelona,Italy,Winter
SCJ,London,France,Autumn
CYU,Rome,Italy,Spring
BFS,Paris,United Kingdom,Winter
FCK,Paris,Japan,Spring
IUL,London,Japan,Winter
XLU,Rome,Spain,Autumn
WWY,Barcelona,Spain,Spring
TUX,Paris,United Kingdom,Winter
IYE,Paris,France,Winter
OAC,Rome,Italy,Winter
XNB,Paris,France,Summer
JVP,Rome,Japan,Autumn
MQQ,Paris,France,Autumn
WQI,Paris,Japan,Winter
NDK,Tokyo,Japan,Winter
IYT,Paris,Japan,Winter
XXC,Barcelona,Spain,Spring
MPS,Tokyo,United Kingdom,Autumn
MDB,Barcelona,United Kingdom,Winter
STZ,Tokyo,Spain,Spring
MJD,Tokyo,Spain,Spring
QAD,Tokyo,Spain,Autumn
EED,Rome,United Kingdom,Summer
ILJ,Paris,United Kingdom,Autumn
FQZ,Paris,Spain,Winter
JGF,Rome,Italy,Summer
QYM,Paris,Spain,Winter
ELX,London,Japan,Spring
DLG,Paris,France,Autumn
CQF,Rome,Japan,Autumn
QRI,Paris,Japan,Summer
OJF,Barcelona,Italy,Summer
DEI,Tokyo,Spain,Winter
FPA,London,United Kingdom,Autumn
DRK,Paris,France,Winter
EWP,Tokyo,United Kingdom,Winter
HND,Barcelona,France,Winter
YBO,Paris,France,Summer
QKR,Tokyo,France,Autumn
HMM,London,Italy,Winter
TPP,Tokyo,United Kingdom,Autumn
HXP,Barcelona,Japan,Spring
AZV,Tokyo,Spain,Spring
PWG,Rome,Italy,Spring
IHB,London,Italy,Winter
TZT,Barcelona,Spain,Summer
ZNO,Barcelona,France,Winter
UQJ,Rome,Italy,Autumn
APA,Paris,Italy,Spring
MVZ,Tokyo,Italy,Summer
LPS,Rome,United Kingdom,Spring
DHV,Barcelona,Spain,Summer
OTL,London,Japan,Winter
TZT,Tokyo,United Kingdom,Winter
CUK,Tokyo,Japan,Winter
AHK,Paris,Italy,Summer
BNQ,London,Japan,Winter
RAE,Barcelona,Japan,Winter
WNH,London,Italy,Winter
PWM,Rome,Spain,Spring
CWP,Paris,United Kingdom,Autumn
HIV,Paris,Japan,Summer
RQY,Rome,Italy,Winter
JLP,Barcelona,United Kingdom,Spring
VYM,Paris,Japan,Summer
JMK,Tokyo,Spain,Winter
ETJ,Barcelona,France,Spring
RNA,London,Japan,Winter
HPU,Rome,Japan,Summer
UPL,Barcelona,United Kingdom,Summer
ENO,Tokyo,Japan,Spring
UUP,Rome,Japan,Summer
YFA,Barcelona,France,Spring
LWB,Paris,United Kingdom,Autumn
BRJ,Barcelona,Japan,Autumn
PKY,Rome,Japan,Spring
NVF,Paris,United Kingdom,Winter
TBG,Tokyo,United Kingdom,Autumn
KJV,Barcelona,France,Autumn
TGL,Rome,Spain,Summer
CLE,Tokyo,Japan,Autumn
HZH,London,United Kingdom,Spring
EWV,Paris,United Kingdom,Summer
MIV,Barcelona,United Kingdom,Winter
KRS,Rome,France,Summer
EBJ,Barcelona,France,Spring
RVW,Barcelona,Japan,Spring
CPZ,Paris,United Kingdom,Summer
RGW,London,Spain,Autumn
IKG,Tokyo,United Kingdom,Spring
EZV,Paris,United Kingdom,Autumn
EMG,Rome,Japan,Summer
JTF,Paris,United Kingdom,Spring
BXJ,Paris,Spain,Autumn
GXA,Rome,France,Autumn
BUO,Tokyo,Japan,Spring
UAT,Barcelona,United Kingdom,Spring
MOG,Tokyo,Japan,Autumn
ZUP,Tokyo,Italy,Summer
XJZ,Rome,Japan,Autumn
SGS,Barcelona,France,Autumn
MTS,Barcelona,Italy,Summer
DWM,Barcelona,France,Winter
SMZ,Tokyo,Spain,Spring
TVU,London,United Kingdom,Spring
PIV,London,Spain,Autumn
UPU,London,Italy,Autumn
UEM,London,United Kingdom,Summer
KQD,Paris,United Kingdom,Spring
TUK,Rome,United Kingdom,Summer
OQA,London,Spain,Summer
MIJ,Tokyo,Spain,Autumn
ELX,Tokyo,Italy,Summer
QMI,Paris,Japan,Summer
PIQ,London,Italy,Summer
CYR,London,Italy,Winter
OJE,London,France,Autumn
DAL,Paris,Japan,Winter
DIG,Tokyo,France,Autumn
CXQ,Barcelona,Spain,Autumn
SZJ,London,United Kingdom,Spring
BZN,Barcelona,United Kingdom,Spring
QRS,Tokyo,France,Autumn
FBZ,Tokyo,Japan,Spring
OCU,London,France,Winter
WDK,London,Italy,Summer
LCJ,Paris,France,Winter
POW,Tokyo,Spain,Spring
MSJ,Rome,Japan,Spring
HLK,Tokyo,Spain,Summer
EMT,Paris,United Kingdom,Winter
ALO,London,France,Summer
BXX,Paris,United Kingdom,Autumn
TQQ,Rome,Japan,Summer
DZB,Rome,Japan,Autumn
NOL,London,France,Winter
EUN,Barcelona,Spain,Autumn
QEM,Barcelona,Spain,Autumn
MGY,Paris,France,Winter
RVH,Tokyo,Italy,Winter
CTJ,Paris,United Kingdom,Autumn
YQB,Paris,United Kingdom,Summer
UBV,Barcelona,United Kingdom,Summer
UNZ,Tokyo,France,Summer
UQY,London,Italy,Winter
VXW,Paris,Italy,Autumn
JKC,Rome,United Kingdom,Autumn
PYH,Tokyo,United Kingdom,Autumn
KXW,London,France,Autumn
JSP,London,Japan,Autumn
CAL,Paris,Spain,Summer
PMC,Rome,United Kingdom,Autumn
KTA,Rome,United Kingdom,Summer
HIH,Tokyo,Italy,Summer
XWL,Barcelona,Spain,Spring
FTQ,Barcelona,France,Summer
PRF,Rome,Spain,Winter
EKL,Barcelona,United Kingdom,Summer
VQX,Paris,Italy,Summer
HJK,Tokyo,Italy,Winter
LTE,Barcelona,Spain,Winter
BSY,Barcelona,Italy,Summer
NYA,Barcelona,United Kingdom,Spring
BED,Tokyo,Japan,Summer
GEI,Barcelona,Italy,Summer
EYP,Tokyo,Japan,Spring
CIG,Paris,Japan,Autumn
ZYZ,Paris,France,Winter
IKC,London,Spain,Winter
VLI,Paris,Italy,Spring
UQI,Rome,Italy,Autumn
TCZ,Tokyo,Italy,Spring
SKI,Tokyo,Spain,Summer
FGQ,Barcelona,Italy,Autumn
REJ,Paris,Japan,Winter
WVF,Paris,Spain,Autumn
CCC,London,Spain,Autumn
NGH,Paris,United Kingdom,Winter
PXN,Tokyo,Japan,Summer
JCP,Rome,Japan,Winter
MJL,Tokyo,Japan,Spring
TKR,Paris,Spain,Autumn
SWP,Rome,France,Spring
HLU,Paris,United Kingdom,Summer
CPD,London,France,Spring
QZK,Paris,United Kingdom,Summer
VTE,Barcelona,Japan,Winter
YLC,London,Japan,Spring
FHV,Barcelona,Italy,Winter
FAW,Tokyo,France,Spring
YQZ,Barcelona,Italy,Summer
QMN,Barcelona,France,Spring
RLB,Paris,Italy,Winter
YXT,Tokyo,Japan,Summer
GRE,Rome,Spain,Autumn
YVG,Paris,United Kingdom,Winter
JIM,Rome,United Kingdom,Winter
KET,London,France,Summer
UQR,Barcelona,Japan,Winter
KQK,Rome,Italy,Autumn
FVV,Barcelona,United Kingdom,Spring
CZQ,Paris,Italy,Spring
ZYW,Rome,United Kingdom,Summer
TLW,Rome,United Kingdom,Spring
SXS,Paris,Japan,Autumn
KWH,Rome,Italy,Summer
MZD,Tokyo,Japan,Winter
ZZA,Paris,Italy,Autumn
QSJ,Tokyo,Japan,Autumn
KZI,Tokyo,France,Spring
GOK,London,France,Winter
CLM,London,Japan,Summer
RCM,Barcelona,United Kingdom,Autumn
GPZ,Paris,Japan,Spring
RTE,Tokyo,United Kingdom,Spring
SVX,Paris,United Kingdom,Winter
YUO,Rome,United Kingdom,Autumn
CJC,London,Japan,Autumn
POX,Paris,Spain,Summer
THU,Tokyo,Spain,Autumn
ZXX,Paris,Japan,Autumn
JNT,Paris,Japan,Spring
SOE,Barcelona,Italy,Summer
EAV,London,Japan,Summer
YXR,Barcelona,United Kingdom,Autumn
MYX,Paris,France,Winter
JQQ,Rome,France,Winter
MCE,Rome,France,Winter
VJV,Tokyo,United Kingdom,Winter
CTS,London,Japan,Spring
CXB,Paris,Italy,Spring
UCI,Tokyo,France,Summer
EZX,Barcelona,Spain,Spring
BJU,Paris,Spain,Spring
LWQ,Rome,Japan,Winter
IJR,Rome,France,Autumn
YUP,Rome,United Kingdom,Autumn
RPO,London,Spain,Winter
DCH,Tokyo,Italy,Winter
TDM,Paris,Japan,Spring
EBW,London,Italy,Autumn
FMC,Tokyo,United Kingdom,Winter
IAJ,Rome,Japan,Spring
DRT,Barcelona,United Kingdom,Winter
GEJ,Rome,United Kingdom,Winter
GPT,Tokyo,Japan,Summer
HDP,Barcelona,France,Summer
HWV,Rome,Spain,Spring
TTW,Barcelona,Spain,Autumn
TYY,Rome,Italy,Winter
AWL,Barcelona,France,Summer
NSF,Tokyo,Japan,Autumn
ZPG,London,Spain,Summer
NSC,Paris,Spain,Winter
NJF,Paris,Italy,Summer
KFA,Tokyo,France,Summer
YUL,Barcelona,Italy,Autumn
UWS,London,Japan,Autumn
UYS,London,Spain,Winter
ACI,Barcelona,Japan,Summer
CBN,Barcelona,Italy,Autumn
OOD,Paris,Japan,Spring
GXM,Tokyo,Spain,Spring
HOX,Paris,Spain,Autumn
POO,Tokyo,Italy,Summer
VOI,Tokyo,Japan,Autumn
YGR,Barcelona,Spain,Autumn
SHS,London,Spain,Summer
RZL,Paris,Japan,Spring
YIQ,Paris,United Kingdom,Autumn
FRU,Paris,France,Winter
YPT,Tokyo,Spain,Summer
RZM,London,Spain,Winter
HTL,Barcelona,Italy,Autumn
BDO,Rome,Japan,Winter
QYB,Paris,Spain,Summer
TBY,Paris,France,Summer
JFO,London,Japan,Spring
UZV,Rome,Italy,Autumn
ZHW,Tokyo,Spain,Summer
CGX,London,France,Spring
URY,Rome,Japan,Summer
TKK,Paris,United Kingdom,Winter
JTI,Rome,Japan,Winter
DYG,London,Italy,Winter
MTL,Tokyo,France,Autumn
END,Paris,Japan,Spring
FSG,Tokyo,Italy,Summer
ARC,London,France,Winter
WAG,London,Italy,Summer
FTE,Paris,France,Summer
TWK,Tokyo,Japan,Summer
YLS,Paris,United Kingdom,Summer
LLX,Paris,United Kingdom,Summer
HKH,Tokyo,Spain,Spring
CIJ,London,France,Summer
XWX,Tokyo,United Kingdom,Summer
SQY,Rome,Spain,Winter
KFY,Rome,United Kingdom,Winter
BFN,Paris,Spain,Autumn
BQS,Barcelona,Spain,Winter
MCJ,Barcelona,Spain,Spring
JPV,London,United Kingdom,Summer
VDQ,Tokyo,Spain,Spring
MIL,London,Italy,Winter
NDR,Tokyo,United Kingdom,Spring
UAZ,Rome,France,Spring
ATH,Rome,Japan,Summer
QGH,Tokyo,France,Summer
GUY,London,United Kingdom,Summer
HEG,Tokyo,Italy,Summer
PBF,Barcelona,Japan,Spring
EOK,Barcelona,Spain,Spring
DOX,London,France,Summer
BEE,Tokyo,Spain,Winter
KTW,Barcelona,France,Summer
DEI,Paris,Italy,Spring
DRK,Paris,France,Winter
FFM,Rome,Spain,Autumn
KZZ,Rome,France,Summer
PHQ,London,Italy,Spring
AWX,Paris,Spain,Summer
CHX,Barcelona,France,Autumn
NXZ,Barcelona,Japan,Autumn
HZI,Paris,France,Autumn
LDN,Rome,Japan,Spring
OSN,Tokyo,Spain,Spring
SDB,Tokyo,United Kingdom,Spring
MDM,Rome,United Kingdom,Spring
RBV,Tokyo,Japan,Winter
CQX,Barcelona,France,Autumn
GST,Rome,Spain,Summer
PGM,London,United Kingdom,Autumn
QOS,Tokyo,France,Summer
ZGB,Tokyo,France,Winter
ZNF,London,Italy,Spring
IMV,Barcelona,Italy,Autumn
ZUP,Paris,Spain,Spring
BIC,London,Japan,Summer
JGV,London,Italy,Summer
HAH,Rome,Japan,Winter
BCB,Tokyo,Italy,Spring
ING,London,Japan,Summer
XLZ,Paris,Spain,Autumn
OPT,London,Italy,Autumn
ZGX,Rome,Spain,Winter
HQC,Barcelona,Japan,Summer
